date,cereals_price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,target_pct_change,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15
1993-08,56.6,2.489247311827957,28.320430107526885,55.8,52.8,55.4,58.1,56.1,58.4,3.1802120141342707,0.0,0.0,0.32065883,0.0,1.6214669,0.0,0.0,1.0036757,0.0,0.21631482,0.0,0.0,0.0,0.63878113,0.0,0.0
1993-09,58.4,3.076666666666666,22.702222222222225,56.6,55.8,52.8,57.8,58.3,61.4,5.136986301369864,0.0,0.0,0.5404867,0.0,2.066147,0.0,0.0,1.1926267,0.0,0.102388754,0.0,0.0,0.0,0.49813882,0.0,0.0
1993-10,61.4,0.5129032258064516,20.09032258064516,58.4,56.6,55.8,57.3,58.2,66.7,8.631921824104241,0.0,0.0,0.6107321,0.0,2.2443652,0.0,0.0,1.2654638,0.0,0.062799335,0.0,0.0,0.0,0.46998608,0.0,0.0
1993-11,66.7,0.6155555555555555,10.858888888888888,61.4,58.4,56.6,55.4,58.8,68.9,3.2983508245877107,0.0,0.0,0.265253,0.0,1.6764048,0.0,0.0,1.0308356,0.0,0.2515936,0.0,0.0,0.0,0.74067235,0.0,0.0
1993-12,68.9,0.724731182795699,9.109677419354838,66.7,61.4,58.4,52.8,58.5,68.6,-0.4354136429608292,0.0,0.0,0.0,0.0,1.1600612,0.0,0.0,0.79612607,0.0,0.3846378,0.0,0.0,0.0,0.9501697,0.054258168,0.0
1994-01,68.6,1.2967741935483872,5.049462365591398,68.9,66.7,61.4,55.8,59.1,66.8,-2.6239067055393543,0.0,0.0,0.0,0.0,0.54784054,0.0,0.0,0.5363915,0.0,0.5358204,0.0,0.0,0.0,1.1450478,0.12882653,0.0
1994-02,66.8,1.5595238095238095,5.789285714285715,68.6,68.9,66.7,56.6,58.1,64.1,-4.041916167664675,0.0,0.0,0.0,0.0,0.1865271,0.0,0.0,0.39462823,0.0,0.62513965,0.0,0.0,0.0,1.2251056,0.16613156,0.13524693
1994-03,64.1,0.664516129032258,15.208602150537637,66.8,68.6,68.9,58.4,57.8,62.4,-2.6521060842433632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225232,0.0,0.67857736,0.0,0.0,0.0,1.2464577,0.17773926,0.23108795
1994-04,62.4,2.267777777777778,21.202222222222225,64.1,66.8,68.6,61.4,57.3,62.0,-0.6410256410256387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3087715,0.034343395,0.68778926,0.0,0.0,0.0,1.2270098,0.16854188,0.25023267
1994-05,62.0,1.4612903225806453,27.016129032258064,62.4,64.1,66.8,66.7,55.4,60.1,-3.064516129032256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311542,0.06616232,0.6837708,0.0,0.0,0.0,1.1941476,0.14563,0.23797503
1994-06,60.1,3.602222222222222,29.28777777777778,62.0,62.4,64.1,68.9,52.8,56.0,-6.821963394342764,0.0,0.0,0.0,0.0,0.08158323,0.0,0.0,0.39290404,0.08039118,0.6468071,0.0,0.0,0.0,1.1287687,0.09987333,0.16853118
1994-07,56.0,4.544086021505376,28.16344086021505,60.1,62.0,62.4,68.6,55.8,57.5,2.6785714285714284,0.0,0.0,0.0,0.0,0.559663,0.0,0.0,0.5731712,0.023032237,0.50287837,0.0,0.0,0.0,0.9515446,0.0,0.0
1994-08,57.5,3.868817204301076,27.817204301075268,56.0,60.1,62.0,66.8,56.6,60.2,4.695652173913048,0.0,0.0,1.0088127,0.0,2.5575547,0.0,0.0,1.2577659,0.0,0.0,0.0,0.0,0.0,0.070081934,0.0,0.0
1994-09,60.2,2.278888888888889,26.686666666666667,57.5,56.0,60.1,64.1,58.4,61.7,2.491694352159469,0.0,0.0,1.2456393,0.0,3.0660603,0.0,0.0,1.4558219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10,61.7,1.2634408602150538,20.18709677419355,60.2,57.5,56.0,62.4,61.4,61.1,-0.9724473257698564,0.0,0.0,1.3154554,0.0,3.2867942,0.0,0.0,1.5492808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-11,61.1,1.0255555555555556,13.496666666666668,61.7,60.2,57.5,62.0,66.7,62.7,2.6186579378068764,0.0,0.0,0.9609327,0.0,2.7729487,0.0,0.0,1.4206942,0.0,0.0,0.0,0.0,0.0,0.21232983,0.0,0.0
1994-12,62.7,1.19247311827957,7.065591397849462,61.1,61.7,60.2,60.1,68.9,62.9,0.3189792663476806,0.0,0.0,0.5052693,0.0,2.0147712,0.0,0.0,1.1348909,0.0,0.08824921,0.0,0.0,0.0,0.58960223,0.0,0.0
1995-01,62.9,1.4118279569892471,4.648387096774194,62.7,61.1,61.7,56.0,68.6,62.5,-0.6359300476947514,0.0,0.0,0.04269455,0.0,1.2079263,0.0,0.0,0.79466814,0.0,0.31904066,0.0,0.0,0.0,0.9190631,0.058977596,0.0
