transformer_feat_0,transformer_feat_1,transformer_feat_2,transformer_feat_3,transformer_feat_4,transformer_feat_5,transformer_feat_6,transformer_feat_7,transformer_feat_8,transformer_feat_9,transformer_feat_10,transformer_feat_11,transformer_feat_12,transformer_feat_13,transformer_feat_14,transformer_feat_15,date,target_pct_change
0.0,0.0,0.5587643,0.38004026,0.0,0.0,0.0,0.0,0.6041336,0.0,0.0,0.0,0.8411646,0.0,0.0,0.0,1992-01,4.068857589984353
0.0,0.0,0.56462145,0.37618807,0.0,0.0,0.0,0.0,0.6034726,0.0,0.0,0.0,0.8490877,0.0,0.0,0.0,1992-02,-0.9022556390977358
0.0,0.0,0.5683158,0.37406635,0.0,0.0,0.0,0.0,0.60329515,0.0,0.0,0.0,0.85412025,0.0,0.0,0.0,1992-03,-4.40060698027315
0.0,0.0,0.57393014,0.3694776,0.0,0.0,0.0,0.0,0.6019644,0.0,0.0,0.0,0.8616127,0.0,0.0,0.0,1992-04,-1.5873015873015872
0.0,0.0,0.5791627,0.36139467,0.0,0.0,0.0,0.0,0.5977633,0.0,0.0,0.0,0.86816084,0.0,0.0,0.0,1992-05,-0.3225806451612949
0.0,0.0,0.58193815,0.35291672,0.0,0.0,0.0,0.0,0.5922753,0.0,0.0,0.0,0.8711555,0.0,0.0,0.0,1992-06,-5.339805825242714
0.0,0.0,0.58662874,0.3477908,0.0,0.0,0.0,0.0,0.59015834,0.0,0.0,0.0,0.8772676,0.0,0.0,0.0,1992-07,-4.1025641025641
0.0,0.0,0.57943285,0.3557814,0.0,0.0,0.0,0.0,0.59350467,0.0,0.0,0.0,0.86790556,0.0,0.0,0.0,1992-08,3.9215686274509727
0.0,0.0,0.58272946,0.35478663,0.0,0.0,0.0,0.0,0.59404534,0.0,0.0,0.0,0.872499,0.0,0.0,0.0,1992-09,-0.1715265866209165
0.0,0.0,0.5780968,0.3616372,0.0,0.0,0.0,0.0,0.59752697,0.0,0.0,0.0,0.8666666,0.0,0.0,0.0,1992-10,1.0309278350515367
0.0,0.0,0.57714987,0.36442384,0.0,0.0,0.0,0.0,0.5993171,0.0,0.0,0.0,0.86563283,0.0,0.0,0.0,1992-11,-0.5102040816326483
0.0,0.0,0.5747832,0.36319423,0.0,0.0,0.0,0.0,0.59741694,0.0,0.0,0.0,0.86211324,0.0,0.0,0.0,1992-12,1.025641025641028
0.0,0.0,0.57178545,0.36795262,0.0,0.0,0.0,0.0,0.59992296,0.0,0.0,0.0,0.8583762,0.0,0.0,0.0,1993-01,-1.6920473773265652
0.0,0.0,0.56640565,0.3688833,0.0,0.0,0.0,0.0,0.59850186,0.0,0.0,0.0,0.8508011,0.0,0.0,0.0,1993-02,-0.5163511187607647
0.0,0.0,0.5677212,0.36894763,0.0,0.0,0.0,0.0,0.5990765,0.0,0.0,0.0,0.8526868,0.0,0.0,0.0,1993-03,-0.8650519031141869
0.0,0.0,0.5646644,0.3679492,0.0,0.0,0.0,0.0,0.597081,0.0,0.0,0.0,0.8482083,0.0,0.0,0.0,1993-04,-3.315881326352528
0.0,0.0,0.5677883,0.36912552,0.0,0.0,0.0,0.0,0.5992416,0.0,0.0,0.0,0.852803,0.0,0.0,0.0,1993-05,-4.6931407942238295
0.0,0.0,0.56467724,0.36983895,0.0,0.0,0.0,0.0,0.5985561,0.0,0.0,0.0,0.84844244,0.0,0.0,0.0,1993-06,5.681818181818183
0.0,0.0,0.5543678,0.3830546,0.0,0.0,0.0,0.0,0.6047254,0.0,0.0,0.0,0.8352314,0.0,0.0,0.0,1993-07,1.433691756272409
0.0,0.0,0.5430355,0.3785781,0.0,0.0,0.0,0.0,0.59672487,0.0,0.0,0.0,0.81853974,0.0,0.0,0.0,1993-08,3.1802120141342707
0.0,0.0,0.543111,0.37969446,0.0,0.0,0.0,0.0,0.59762335,0.0,0.0,0.0,0.8187751,0.0,0.0,0.0,1993-09,5.136986301369864
0.0,0.0,0.54308265,0.3788997,0.0,0.0,0.0,0.0,0.59699386,0.0,0.0,0.0,0.81864375,0.0,0.0,0.0,1993-10,8.631921824104241
0.0,0.0,0.54269737,0.37708104,0.0,0.0,0.0,0.0,0.5954255,0.0,0.0,0.0,0.81788594,0.0,0.0,0.0,1993-11,3.2983508245877107
0.0,0.0,0.54089385,0.37439305,0.0,0.0,0.0,0.0,0.5926156,0.0,0.0,0.0,0.81500393,0.0,0.0,0.0,1993-12,-0.4354136429608292
0.0,0.0,0.54299974,0.3740467,0.0,0.0,0.0,0.0,0.59318584,0.0,0.0,0.0,0.8179712,0.0,0.0,0.0,1994-01,-2.6239067055393543
0.0,0.0,0.54364485,0.3712633,0.0,0.0,0.0,0.0,0.59127796,0.0,0.0,0.0,0.8185745,0.0,0.0,0.0,1994-02,-4.041916167664675
0.0,0.0,0.5486149,0.36998314,0.0,0.0,0.0,0.0,0.5922638,0.0,0.0,0.0,0.8255246,0.0,0.0,0.0,1994-03,-2.6521060842433632
0.0,0.0,0.5546806,0.36239997,0.0,0.0,0.0,0.0,0.5887837,0.0,0.0,0.0,0.83331937,0.0,0.0,0.0,1994-04,-0.6410256410256387
0.0,0.0,0.563171,0.3590844,0.0,0.0,0.0,0.0,0.58959,0.0,0.0,0.0,0.8450637,0.0,0.0,0.0,1994-05,-3.064516129032256
0.0,0.0,0.5705605,0.34240413,0.0,0.0,0.0,0.0,0.5795615,0.0,0.0,0.0,0.85370994,0.0,0.0,0.0,1994-06,-6.821963394342764
0.0,0.0,0.5699776,0.34230372,0.0,0.0,0.0,0.0,0.57925093,0.0,0.0,0.0,0.8528662,0.0,0.0,0.0,1994-07,2.6785714285714284
0.0,0.0,0.58170617,0.34454668,0.0,0.0,0.0,0.0,0.58567214,0.0,0.0,0.0,0.8698687,0.0,0.0,0.0,1994-08,4.695652173913048
0.0,0.0,0.57594436,0.3539688,0.0,0.0,0.0,0.0,0.59070385,0.0,0.0,0.0,0.8627177,0.0,0.0,0.0,1994-09,2.491694352159469
0.0,0.0,0.5851379,0.34530547,0.0,0.0,0.0,0.0,0.5876306,0.0,0.0,0.0,0.8748552,0.0,0.0,0.0,1994-10,-0.9724473257698564
0.0,0.0,0.5808483,0.34940657,0.0,0.0,0.0,0.0,0.5891104,0.0,0.0,0.0,0.8691987,0.0,0.0,0.0,1994-11,2.6186579378068764
0.0,0.0,0.581901,0.35280654,0.0,0.0,0.0,0.0,0.59217477,0.0,0.0,0.0,0.8710899,0.0,0.0,0.0,1994-12,0.3189792663476806
0.0,0.0,0.5797516,0.35561398,0.0,0.0,0.0,0.0,0.59350157,0.0,0.0,0.0,0.86834157,0.0,0.0,0.0,1995-01,-0.6359300476947514
0.0,0.0,0.57258534,0.36218202,0.0,0.0,0.0,0.0,0.59575325,0.0,0.0,0.0,0.8588595,0.0,0.0,0.0,1995-02,-0.4799999999999954
0.0,0.0,0.57410663,0.36288726,0.0,0.0,0.0,0.0,0.5969084,0.0,0.0,0.0,0.8611121,0.0,0.0,0.0,1995-03,0.8038585209003215
0.0,0.0,0.57686687,0.3628381,0.0,0.0,0.0,0.0,0.5979707,0.0,0.0,0.0,0.86504763,0.0,0.0,0.0,1995-04,3.508771929824566
0.0,0.0,0.57954186,0.35756052,0.0,0.0,0.0,0.0,0.5949321,0.0,0.0,0.0,0.8682644,0.0,0.0,0.0,1995-05,6.471494607087809
0.0,0.0,0.5768343,0.35940844,0.0,0.0,0.0,0.0,0.59528995,0.0,0.0,0.0,0.8646095,0.0,0.0,0.0,1995-06,7.091172214182354
0.0,0.0,0.57963735,0.3577062,0.0,0.0,0.0,0.0,0.5950835,0.0,0.0,0.0,0.8684174,0.0,0.0,0.0,1995-07,-1.8918918918919
0.0,0.0,0.5869358,0.34974602,0.0,0.0,0.0,0.0,0.59180164,0.0,0.0,0.0,0.8779294,0.0,0.0,0.0,1995-08,4.545454545454562
0.0,0.0,0.5928078,0.34650472,0.0,0.0,0.0,0.0,0.59162164,0.0,0.0,0.0,0.8859433,0.0,0.0,0.0,1995-09,5.665349143610008
0.0,0.0,0.59519786,0.34430823,0.0,0.0,0.0,0.0,0.5908661,0.0,0.0,0.0,0.8891052,0.0,0.0,0.0,1995-10,0.3740648379052333
0.0,0.0,0.6041521,0.33544227,0.0,0.0,0.0,0.0,0.5875398,0.0,0.0,0.0,0.9008777,0.0,0.0,0.0,1995-11,2.732919254658389
0.0,0.0,0.610372,0.32198733,0.0,0.0,0.0,0.0,0.5795539,0.0,0.0,0.0,0.90822244,0.0,0.0,0.0,1995-12,0.7255139056831853
0.0,0.0,0.6126243,0.3210687,0.0,0.0,0.0,0.0,0.5797373,0.0,0.0,0.0,0.9113333,0.0,0.0,0.0,1996-01,2.8811524609844006
0.0,0.0,0.6153631,0.29816526,0.0,0.0,0.0,0.0,0.56301373,0.0,0.0,0.0,0.9126286,0.0,0.0,0.0,1996-02,1.400233372228708
0.0,0.0,0.622846,0.24171221,0.0,0.0,0.0,0.0,0.52208483,0.0,0.0,0.0,0.9168666,0.0,0.0,0.0,1996-03,9.666283084004592
