date,cereals_price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price,lstm_feat_0,lstm_feat_1,lstm_feat_2,lstm_feat_3,lstm_feat_4,lstm_feat_5,lstm_feat_6,lstm_feat_7,lstm_feat_8,lstm_feat_9,lstm_feat_10,lstm_feat_11,lstm_feat_12,lstm_feat_13,lstm_feat_14,lstm_feat_15,month_num,precip_anomaly,temp_anomaly,pct_change_hist,volatility_3m,volatility_6m,volatility_12m,momentum_3m,momentum_6m
1993-01,59.1,1.2946236559139783,5.2172043010752684,58.5,58.8,58.2,58.5,63.9,58.1,7.962308,9.903482,0.0,9.476744,0.0,8.669581,8.003593,9.2924795,7.6535954,0.0,8.787952,0.0,0.56972,0.0,0.0,7.98344,01,0.02783410138248832,-0.14086021505376412,1.025641025641022,0.8882506898874194,2.622085833806019,2.9856907344164463,1.546391752577314,1.025641025641022
1993-02,58.1,1.3011904761904762,7.324999999999999,59.1,58.5,58.8,56.1,66.5,57.8,7.7841,9.693484,0.0,9.261945,0.0,8.48563,7.814333,9.093473,7.48314,0.0,8.5833845,0.0,0.57322377,0.0,0.0,7.8141103,02,-0.17730940652122928,-0.7528759089842829,-1.6920473773265665,1.3626814267427303,1.922548913176837,2.604196583704696,-1.1904761904761862,3.5650623885918
1993-03,57.8,2.6849462365591394,11.726881720430107,58.1,59.1,58.5,58.3,65.9,57.3,7.6462393,9.529519,0.0,9.098023,0.0,8.343092,7.668435,8.938772,7.3542495,0.0,8.432931,0.0,0.5701812,0.0,0.0,7.6816974,03,0.9685407066052225,-2.831981566820277,-0.5163511187607606,1.3629521709281736,1.040991863342004,2.6090711038331786,-1.1965811965812034,-0.8576329331046351
1993-04,57.3,2.05,19.538888888888888,57.8,58.1,59.1,58.2,63.0,55.4,7.5496163,9.408015,0.0,8.98102,0.0,8.235528,7.5618596,8.827781,7.261759,0.0,8.330279,0.0,0.5637432,0.0,0.0,7.5824924,04,0.036666666666666625,-2.070857142857143,-0.865051903114189,0.6038453780814605,1.0829914531193174,2.387161603487438,-3.0456852791878264,-1.5463917525773252
1993-05,55.4,2.3451612903225807,27.10430107526881,57.3,57.8,58.1,58.8,62.0,52.8,7.4854336,9.323629,0.0,8.899686,0.0,8.158946,7.4860306,8.754791,7.1981053,0.0,8.259578,0.0,0.5594219,0.0,0.0,7.515271,05,0.014347158218126044,0.14307219662057946,-3.315881326352532,1.525643387888002,1.4446338155241356,2.491446642685178,-4.647160068846823,-5.782312925170063
1993-06,52.8,4.42,28.442222222222224,55.4,57.3,57.8,58.5,61.8,55.8,7.4608126,9.284562,0.0,8.865487,0.0,8.119671,7.450743,8.727004,7.1713996,0.0,8.231648,0.0,0.55327785,0.0,0.0,7.4840913,06,1.420095238095238,-1.4058412698412681,-4.693140794223827,1.9389719381624595,2.053966568121633,2.708587349056334,-8.650519031141869,-9.743589743589753
1993-07,55.8,8.766666666666666,27.468817204301075,52.8,55.4,57.3,59.1,58.5,56.6,7.4604907,9.271145,0.0,8.861643,0.0,8.099735,7.442662,8.724045,7.1676817,0.0,8.230572,0.0,0.54152495,0.0,0.0,7.4703975,07,4.837634408602149,-2.1815360983102927,5.681818181818188,5.634643050447406,3.5866551843314567,3.0499045728743277,-2.617801047120416,-5.583756345177671
1993-08,56.6,2.489247311827957,28.320430107526885,55.8,52.8,55.4,58.1,56.1,58.4,7.5707316,9.386351,0.0,8.989944,0.0,8.193114,7.552657,8.83932,7.2651978,0.0,8.353287,0.0,0.5302689,0.0,0.0,7.5571203,08,-0.8990512333965843,-0.47498418722327074,1.433691756272415,5.215752246541165,3.67454930015985,2.842422520126479,2.166064981949467,-2.5817555938037917
1993-09,58.4,3.076666666666666,22.702222222222225,56.6,55.8,52.8,57.8,58.3,61.4,7.567416,9.380828,0.0,8.985786,0.0,8.180867,7.5524955,8.836978,7.2684913,0.0,8.340593,0.0,0.52499,0.0,0.0,7.5566497,09,0.5181699346405222,-2.8583006535947675,3.180212014134276,2.1352183556073863,3.946755262218463,2.7588953017221316,10.60606060606062,1.038062283737018
1993-10,61.4,0.5129032258064516,20.09032258064516,58.4,56.6,55.8,57.3,58.2,66.7,7.5616302,9.374594,0.0,8.984036,0.0,8.168601,7.555733,8.830856,7.2733274,0.0,8.331228,0.0,0.5168739,0.0,0.0,7.5541286,10,-0.942504743833017,-0.37049335863377664,5.136986301369872,1.852641767407501,4.35146780147761,3.122019628316959,10.035842293906816,7.155322862129143
